AURKA,BRAF,FGFR1,MAP3K7,MAPK15,MKNK1,PAK1,PAK3,PDPK1,PIK3CA,RET,RPS6KB1,SRC,STK11,TTK,smiles
0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,*.*.*.*.*.Cc1cc(C(C)(C)CC(C)(C)C)cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(Cc3cc(C(C)(C)CC(C)(C)C)ccc3OCCO)c2OCCO)c1OCCO
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,*.*.*.*[C@@H]1CC[C@@H](N)C(O[C@H]2C(N)C[C@@H](N)C(OC3OCC(C)(O)[C@@H](NC)[C@H]3O)[C@@H]2O)O1.CC(C)N.CCN.CNC(C)C.O=S(=O)(O)O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.*.*N[C@H]1CC(CC)C(COS(=O)(=O)[O-])OC1O[C@@H]1C(C(=O)[O-])O[C@@H](O[C@@H]2C(CO*)O[C@H](O[C@@H]3C(C(=O)[O-])O[C@@H](O[C@@H]4C(COS(=O)(=O)[O-])O[C@@H](C)[C@@H](NS(=O)(=O)[O-])C4O)C(OS(=O)(=O)[O-])[C@H]3O)[C@@H](NS(=O)(=O)[O-])C2S(=O)(=O)[O-])C(O)[C@H]1O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.*.*O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](OC[C@H]2O[C@@H](O[C@@H]3[C@@H](O)[C@H](O[C@@H]4[C@@H](O)[C@H](O[C@@H]5[C@@H](O)[C@H](*)O[C@H](CO)[C@H]5O)O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)O[C@H](CO)[C@H]3O)[C@H](O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@@H]1O
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*.*.CCC(C)N1CCCC1=O
0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,*.*.Nc1c2c(nc3ccccc13)CCCC2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,*.*.O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O
1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,*.*C(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.*O[C@@H]1O[C@H](C(=O)O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O*)[C@H]2NC(C)=O)[C@H](O)[C@H]1O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.*O[C@H]1O[C@@H](C(=O)[O-])[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](*)[C@H]2NC(C)=O)[C@@H](O)[C@@H]1O.[Na+]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.*[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4/C(=N/O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
